,TOTAL TSS
2024-08-19,
2024-08-20,
2024-08-21,
2024-08-22,
2024-08-23,25.489734619371397
2024-08-24,
2024-08-25,
2024-08-26,
2024-08-27,45.189035557181576
2024-08-28,
2024-08-29,52.88233582165688
2024-08-30,
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,
2024-09-04,23.306462457725374
2024-09-05,
2024-09-06,
2024-09-07,
2024-09-08,
2024-09-09,
2024-09-10,33.23909641533518
2024-09-11,
2024-09-12,
2024-09-13,
2024-09-14,
2024-09-15,
2024-09-16,
2024-09-17,
2024-09-18,
2024-09-19,
2024-09-20,
2024-09-21,
2024-09-22,
2024-09-23,18.339422607085982
2024-09-24,
2024-09-25,
2024-09-26,8.71026230721212
2024-09-27,
2024-09-28,
2024-09-29,
2024-09-30,
2024-10-01,
2024-10-02,
2024-10-03,
2024-10-04,15.038821155374698
2024-10-05,
2024-10-06,
2024-10-07,35.08205742761698
2024-10-08,
2024-10-09,
2024-10-10,
2024-10-11,
2024-10-12,
2024-10-13,
2024-10-14,
2024-10-15,
2024-10-16,
2024-10-17,
2024-10-18,
2024-10-19,
2024-10-20,
2024-10-21,
2024-10-22,
2024-10-23,
2024-10-24,
2024-10-25,
2024-10-26,
2024-10-27,
2024-10-28,
2024-10-29,62.20769699905481
2024-10-30,78.29305537275827
2024-10-31,40.08771266540643
2024-11-01,56.79700238948192
2024-11-02,70.15349716446126
2024-11-03,73.54331669266372
2024-11-04,0.0
2024-11-05,32.798306126630685
2024-11-06,46.136740749054816
2024-11-07,40.08771266540643
2024-11-08,39.35796735195683
2024-11-09,19.338717354166672
2024-11-10,50.109640831758036
2024-11-11,0.0
2024-11-12,65.48795511581596
2024-11-13,69.17829465058476
2024-11-14,32.798306126630685
2024-11-15,64.05839976345803
2024-11-16,65.56255434848461
2024-11-17,60.13156899810964
2024-11-18,0.0
2024-11-19,69.42375185101164
2024-11-20,78.29305537275827
2024-11-21,40.08771266540643
2024-11-22,66.63649422747112
2024-11-23,70.15349716446126
2024-11-24,73.54331669266372
2024-11-25,0.0
2024-11-26,87.31727348775462
2024-11-27,70.08226812689692
2024-11-28,59.584260013022444
2024-11-29,32.78045086105942
2024-11-30,80.17542533081286
2024-12-01,73.54228654108782
2024-12-02,0.0
2024-12-03,65.48795511581596
2024-12-04,19.338717354166672
2024-12-05,40.08771266540643
2024-12-06,55.428923601956825
2024-12-07,50.109640831758036
2024-12-08,42.813732350386786
2024-12-09,0.0
2024-12-10,49.744768175033236
2024-12-11,82.04665932722072
2024-12-12,39.35796735195683
2024-12-13,55.6589465927531
2024-12-14,73.10168365677565
2024-12-15,80.17542533081286
2024-12-16,0.0
2024-12-17,65.96148490998632
2024-12-18,83.02153908082522
2024-12-19,42.687693143663324
2024-12-20,30.06578449905482
2024-12-21,76.82211715375075
2024-12-22,100.21928166351607
2024-12-23,0.0
2024-12-24,95.55373961487079
2024-12-25,46.248443329230994
2024-12-26,49.562331846670844
2024-12-27,49.21464428568048
2024-12-28,120.26313799621929
2024-12-29,80.64076205003147
2024-12-30,0.0
2024-12-31,49.37339357571294
2025-01-01,36.11481258270321
2025-01-02,28.862509391434997
2025-01-03,40.08771266540643
2025-01-04,45.577362255471236
2025-01-05,80.17542533081286
2025-01-06,0.0
2025-01-07,56.141036266949286
2025-01-08,30.06578449905482
2025-01-09,61.62675761328893
2025-01-10,50.109640831758036
2025-01-11,78.17340755889629
2025-01-12,159.98597800490091
2025-01-13,0.0
2025-01-14,43.29376408715252
2025-01-15,80.830172315628
2025-01-16,60.34888327300035
2025-01-17,70.08226812689692
2025-01-18,50.98827775059318
2025-01-19,189.86932617559333
2025-01-20,0.0
2025-01-21,88.97928908583603
2025-01-22,20.043856332703214
2025-01-23,105.6724878148924
2025-01-24,40.08771266540643
2025-01-25,31.309294074614762
2025-01-26,239.79653067898897
2025-01-27,0.0
2025-01-28,40.08771266540643
2025-01-29,47.2295608223482
2025-01-30,19.338717354166672
2025-01-31,32.798306126630685
2025-02-01,36.86961644686985
2025-02-02,139.9421216721977
2025-02-03,0.0
2025-02-04,41.32586571955468
2025-02-05,59.601445108756884
2025-02-06,86.58752817430504
2025-02-07,64.4325400165482
2025-02-08,38.0171969433793
